Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80028,80028,60028,DF1 scenario 0028,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80029,80029,60029,DF1 scenario 0029,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80030,80030,60030,DF1 scenario 0030,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80031,80031,60031,DF1 scenario 0031,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80032,80032,60032,DF1 scenario 0032,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80033,80033,60033,DF1 scenario 0033,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80034,80034,60034,DF1 scenario 0034,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80035,80035,60035,DF1 scenario 0035,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / DF1 / Finance / Team Finance,TR-80036,80036,60036,DF1 scenario 0036,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80037,80037,60037,IR1 scenario 0001,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80038,80038,60038,IR1 scenario 0002,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80039,80039,60039,IR1 scenario 0003,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80040,80040,60040,IR1 scenario 0004,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80041,80041,60041,IR1 scenario 0005,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80042,80042,60042,IR1 scenario 0006,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80043,80043,60043,IR1 scenario 0007,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80044,80044,60044,IR1 scenario 0008,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80045,80045,60045,IR1 scenario 0009,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80046,80046,60046,IR1 scenario 0010,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80047,80047,60047,IR1 scenario 0011,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80048,80048,60048,IR1 scenario 0012,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80049,80049,60049,IR1 scenario 0013,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80050,80050,60050,IR1 scenario 0014,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80051,80051,60051,IR1 scenario 0015,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80052,80052,60052,IR1 scenario 0016,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80053,80053,60053,IR1 scenario 0017,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80054,80054,60054,IR1 scenario 0018,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80055,80055,60055,IR1 scenario 0019,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80056,80056,60056,IR1 scenario 0020,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80057,80057,60057,IR1 scenario 0021,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80058,80058,60058,IR1 scenario 0022,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80059,80059,60059,IR1 scenario 0023,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80060,80060,60060,IR1 scenario 0024,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80061,80061,60061,IR1 scenario 0025,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80062,80062,60062,IR1 scenario 0026,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80063,80063,60063,IR1 scenario 0027,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80064,80064,60064,IR1 scenario 0028,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80065,80065,60065,IR1 scenario 0029,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80066,80066,60066,IR1 scenario 0030,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80067,80067,60067,IR1 scenario 0031,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80068,80068,60068,IR1 scenario 0032,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80069,80069,60069,IR1 scenario 0033,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80070,80070,60070,IR1 scenario 0034,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80071,80071,60071,IR1 scenario 0035,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80072,80072,60072,IR1 scenario 0036,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80073,80073,60073,IR1 scenario 0037,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80074,80074,60074,IR1 scenario 0038,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80075,80075,60075,IR1 scenario 0039,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80076,80076,60076,IR1 scenario 0040,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1000,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80077,80077,60077,IR1 scenario 0041,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80078,80078,60078,IR1 scenario 0042,Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80079,80079,60079,IR1 scenario 0043,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80080,80080,60080,IR1 scenario 0044,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80081,80081,60081,IR1 scenario 0045,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80082,80082,60082,IR1 scenario 0046,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80083,80083,60083,IR1 scenario 0047,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80084,80084,60084,IR1 scenario 0048,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80085,80085,60085,IR1 scenario 0049,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80086,80086,60086,IR1 scenario 0050,Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80087,80087,60087,IR1 scenario 0051,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80088,80088,60088,IR1 scenario 0052,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80089,80089,60089,IR1 scenario 0053,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80090,80090,60090,IR1 scenario 0054,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80091,80091,60091,IR1 scenario 0055,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80092,80092,60092,IR1 scenario 0056,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80093,80093,60093,IR1 scenario 0057,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80094,80094,60094,IR1 scenario 0058,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80095,80095,60095,IR1 scenario 0059,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80096,80096,60096,IR1 scenario 0060,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80097,80097,60097,IR1 scenario 0061,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80098,80098,60098,IR1 scenario 0062,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80099,80099,60099,IR1 scenario 0063,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80100,80100,60100,IR1 scenario 0064,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80101,80101,60101,IR1 scenario 0065,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80102,80102,60102,IR1 scenario 0066,Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80103,80103,60103,IR1 scenario 0067,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80104,80104,60104,IR1 scenario 0068,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80105,80105,60105,IR1 scenario 0069,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80106,80106,60106,IR1 scenario 0070,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80107,80107,60107,IR1 scenario 0071,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80108,80108,60108,IR1 scenario 0072,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80109,80109,60109,IR1 scenario 0073,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80110,80110,60110,IR1 scenario 0074,Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80111,80111,60111,IR1 scenario 0075,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80112,80112,60112,IR1 scenario 0076,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80113,80113,60113,IR1 scenario 0077,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80114,80114,60114,IR1 scenario 0078,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80115,80115,60115,IR1 scenario 0079,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80116,80116,60116,IR1 scenario 0080,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1001,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80117,80117,60117,IR1 scenario 0081,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80118,80118,60118,IR1 scenario 0082,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80119,80119,60119,IR1 scenario 0083,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80120,80120,60120,IR1 scenario 0084,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80121,80121,60121,IR1 scenario 0085,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80122,80122,60122,IR1 scenario 0086,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80123,80123,60123,IR1 scenario 0087,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80124,80124,60124,IR1 scenario 0088,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80125,80125,60125,IR1 scenario 0089,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80126,80126,60126,IR1 scenario 0090,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80127,80127,60127,IR1 scenario 0091,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80128,80128,60128,IR1 scenario 0092,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80129,80129,60129,IR1 scenario 0093,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80130,80130,60130,IR1 scenario 0094,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80131,80131,60131,IR1 scenario 0095,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80132,80132,60132,IR1 scenario 0096,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80133,80133,60133,IR1 scenario 0097,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80134,80134,60134,IR1 scenario 0098,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80135,80135,60135,IR1 scenario 0099,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80136,80136,60136,IR1 scenario 0100,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80137,80137,60137,IR1 scenario 0101,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80138,80138,60138,IR1 scenario 0102,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80139,80139,60139,IR1 scenario 0103,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80140,80140,60140,IR1 scenario 0104,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80141,80141,60141,IR1 scenario 0105,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80142,80142,60142,IR1 scenario 0106,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80143,80143,60143,IR1 scenario 0107,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80144,80144,60144,IR1 scenario 0108,Failed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80145,80145,60145,IR1 scenario 0109,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80146,80146,60146,IR1 scenario 0110,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80147,80147,60147,IR1 scenario 0111,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80148,80148,60148,IR1 scenario 0112,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80149,80149,60149,IR1 scenario 0113,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80150,80150,60150,IR1 scenario 0114,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80151,80151,60151,IR1 scenario 0115,Passed,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-80152,80152,60152,IR1 scenario 0116,Not Relevant,A. Sylaj,15/09/2026,SAP FI,Finance,REQ-1002,Requirement,
