Directory,Id,Test Run ID,Test Case ID,Name,Status,Executed By,Executed End,Application,Module,Requirement,Requirement Name,Defect IDs
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68015,68015,41015,Accounts Payable – Finance scenario 15,Not Relevant,S. Weber,05.08.2026,SAP FI,Accounts Payable,REQ-1203,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68016,68016,41016,Asset Accounting – Finance scenario 16,Failed,L. Haas,17.08.2026,SAP FI,Asset Accounting,REQ-1203,Asset Accounting requirement,GCSAP-2112
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68017,68017,41017,Asset Accounting – Finance scenario 17,Passed,A. Sylaj,05.08.2026,SAP FI,Asset Accounting,REQ-1203,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68018,68018,41018,Accounts Payable – Finance scenario 18,Passed,K. Ergün,04.08.2026,SAP FI,Accounts Payable,REQ-1203,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68019,68019,41019,Asset Accounting – Finance scenario 19,Passed,L. Haas,21.08.2026,SAP FI,Asset Accounting,REQ-1203,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68020,68020,41020,Asset Accounting – Finance scenario 20,Passed,R. Petrov,03.08.2026,SAP FI,Asset Accounting,REQ-1203,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68021,68021,41021,Accounts Payable – Finance scenario 21,Passed,M. Brinkmann,04.08.2026,SAP FI,Accounts Payable,REQ-1203,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68022,68022,41022,Accounts Payable – Finance scenario 22,Passed,R. Petrov,19.08.2026,SAP FI,Accounts Payable,REQ-1204,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68023,68023,41023,General Ledger – Finance scenario 23,Passed,M. Brinkmann,13.08.2026,SAP FI,General Ledger,REQ-1204,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68024,68024,41024,Accounts Payable – Finance scenario 24,Passed,L. Haas,20.08.2026,SAP FI,Accounts Payable,REQ-1204,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68025,68025,41025,Asset Accounting – Finance scenario 25,Blocked,A. Sylaj,07.08.2026,SAP FI,Asset Accounting,REQ-1204,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68026,68026,41026,General Ledger – Finance scenario 26,Passed,R. Petrov,03.08.2026,SAP FI,General Ledger,REQ-1204,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68027,68027,41027,Asset Accounting – Finance scenario 27,Passed,R. Petrov,07.08.2026,SAP FI,Asset Accounting,REQ-1204,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68028,68028,41028,Asset Accounting – Finance scenario 28,Passed,K. Ergün,07.08.2026,SAP FI,Asset Accounting,REQ-1204,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68029,68029,41029,Asset Accounting – Finance scenario 29,Passed,R. Petrov,04.08.2026,SAP FI,Asset Accounting,REQ-1205,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68030,68030,41030,Asset Accounting – Finance scenario 30,Passed,R. Petrov,19.08.2026,SAP FI,Asset Accounting,REQ-1205,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68031,68031,41031,General Ledger – Finance scenario 31,Passed,A. Sylaj,11.08.2026,SAP FI,General Ledger,REQ-1205,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68032,68032,41032,General Ledger – Finance scenario 32,Passed,A. Sylaj,28.08.2026,SAP FI,General Ledger,REQ-1205,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68033,68033,41033,General Ledger – Finance scenario 33,Passed,L. Haas,06.08.2026,SAP FI,General Ledger,REQ-1205,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68034,68034,41034,Asset Accounting – Finance scenario 34,Failed,M. Brinkmann,28.08.2026,SAP FI,Asset Accounting,REQ-1205,Asset Accounting requirement,GCSAP-2107
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68035,68035,41035,Asset Accounting – Finance scenario 35,Passed,R. Petrov,18.08.2026,SAP FI,Asset Accounting,REQ-1205,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68036,68036,41036,General Ledger – Finance scenario 36,Passed,R. Petrov,21.08.2026,SAP FI,General Ledger,REQ-1206,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68037,68037,41037,Accounts Payable – Finance scenario 37,Passed,K. Ergün,17.08.2026,SAP FI,Accounts Payable,REQ-1206,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68038,68038,41038,Accounts Payable – Finance scenario 38,Passed,A. Sylaj,25.08.2026,SAP FI,Accounts Payable,REQ-1206,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68039,68039,41039,General Ledger – Finance scenario 39,Passed,K. Ergün,07.08.2026,SAP FI,General Ledger,REQ-1206,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68040,68040,41040,Asset Accounting – Finance scenario 40,Passed,K. Ergün,14.08.2026,SAP FI,Asset Accounting,REQ-1206,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68041,68041,41041,General Ledger – Finance scenario 41,Passed,M. Brinkmann,18.08.2026,SAP FI,General Ledger,REQ-1206,General Ledger requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68042,68042,41042,Accounts Payable – Finance scenario 42,Passed,L. Haas,25.08.2026,SAP FI,Accounts Payable,REQ-1206,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68043,68043,41043,Asset Accounting – Finance scenario 43,Failed,R. Petrov,11.08.2026,SAP FI,Asset Accounting,REQ-1207,Asset Accounting requirement,GCSAP-2104
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68044,68044,41044,Asset Accounting – Finance scenario 44,Passed,L. Haas,24.08.2026,SAP FI,Asset Accounting,REQ-1207,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68045,68045,41045,Asset Accounting – Finance scenario 45,Passed,R. Petrov,13.08.2026,SAP FI,Asset Accounting,REQ-1207,Asset Accounting requirement,
GC SAP Upgrade / IR1 / Finance / Team Finance,TR-68046,68046,41046,Accounts Payable – Finance scenario 46,Passed,R. Petrov,18.08.2026,SAP FI,Accounts Payable,REQ-1207,Accounts Payable requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68047,68047,41047,Inventory – Logistics scenario 01,Blocked,A. Sylaj,18.08.2026,SAP EWM,Inventory,REQ-1208,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68048,68048,41048,Goods Receipt – Logistics scenario 02,Passed,M. Brinkmann,17.08.2026,SAP EWM,Goods Receipt,REQ-1208,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68049,68049,41049,Goods Issue – Logistics scenario 03,Failed,K. Ergün,03.08.2026,SAP EWM,Goods Issue,REQ-1208,Goods Issue requirement,GCSAP-2108
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68050,68050,41050,Goods Issue – Logistics scenario 04,Passed,R. Petrov,06.08.2026,SAP EWM,Goods Issue,REQ-1208,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68051,68051,41051,Inventory – Logistics scenario 05,Passed,R. Petrov,10.08.2026,SAP EWM,Inventory,REQ-1208,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68052,68052,41052,Inventory – Logistics scenario 06,Failed,R. Petrov,19.08.2026,SAP EWM,Inventory,REQ-1208,Inventory requirement,GCSAP-2108
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68053,68053,41053,Inventory – Logistics scenario 07,Passed,M. Brinkmann,10.08.2026,SAP EWM,Inventory,REQ-1208,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68054,68054,41054,Goods Receipt – Logistics scenario 08,Failed,S. Weber,07.08.2026,SAP EWM,Goods Receipt,REQ-1209,Goods Receipt requirement,GCSAP-2110
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68055,68055,41055,Goods Issue – Logistics scenario 09,Passed,S. Weber,26.08.2026,SAP EWM,Goods Issue,REQ-1209,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68056,68056,41056,Goods Receipt – Logistics scenario 10,Passed,S. Weber,06.08.2026,SAP EWM,Goods Receipt,REQ-1209,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68057,68057,41057,Inventory – Logistics scenario 11,Passed,M. Brinkmann,11.08.2026,SAP EWM,Inventory,REQ-1209,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68058,68058,41058,Goods Receipt – Logistics scenario 12,Passed,S. Weber,12.08.2026,SAP EWM,Goods Receipt,REQ-1209,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68059,68059,41059,Goods Issue – Logistics scenario 13,Passed,A. Sylaj,07.08.2026,SAP EWM,Goods Issue,REQ-1209,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68060,68060,41060,Inventory – Logistics scenario 14,Passed,S. Weber,27.08.2026,SAP EWM,Inventory,REQ-1209,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68061,68061,41061,Goods Issue – Logistics scenario 15,Failed,M. Brinkmann,07.08.2026,SAP EWM,Goods Issue,REQ-1210,Goods Issue requirement,GCSAP-2109
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68062,68062,41062,Inventory – Logistics scenario 16,Failed,A. Sylaj,10.08.2026,SAP EWM,Inventory,REQ-1210,Inventory requirement,GCSAP-2110
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68063,68063,41063,Goods Receipt – Logistics scenario 17,Passed,S. Weber,06.08.2026,SAP EWM,Goods Receipt,REQ-1210,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68064,68064,41064,Goods Receipt – Logistics scenario 18,Passed,R. Petrov,26.08.2026,SAP EWM,Goods Receipt,REQ-1210,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68065,68065,41065,Goods Receipt – Logistics scenario 19,Passed,L. Haas,11.08.2026,SAP EWM,Goods Receipt,REQ-1210,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68066,68066,41066,Goods Receipt – Logistics scenario 20,Passed,A. Sylaj,26.08.2026,SAP EWM,Goods Receipt,REQ-1210,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68067,68067,41067,Goods Receipt – Logistics scenario 21,Passed,S. Weber,25.08.2026,SAP EWM,Goods Receipt,REQ-1210,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68068,68068,41068,Inventory – Logistics scenario 22,Passed,S. Weber,25.08.2026,SAP EWM,Inventory,REQ-1211,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68069,68069,41069,Goods Issue – Logistics scenario 23,Passed,L. Haas,25.08.2026,SAP EWM,Goods Issue,REQ-1211,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68070,68070,41070,Inventory – Logistics scenario 24,Passed,M. Brinkmann,21.08.2026,SAP EWM,Inventory,REQ-1211,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68071,68071,41071,Goods Issue – Logistics scenario 25,Passed,K. Ergün,05.08.2026,SAP EWM,Goods Issue,REQ-1211,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68072,68072,41072,Goods Receipt – Logistics scenario 26,Passed,A. Sylaj,14.08.2026,SAP EWM,Goods Receipt,REQ-1211,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68073,68073,41073,Goods Receipt – Logistics scenario 27,Passed,M. Brinkmann,18.08.2026,SAP EWM,Goods Receipt,REQ-1211,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68074,68074,41074,Goods Issue – Logistics scenario 28,Not Relevant,K. Ergün,12.08.2026,SAP EWM,Goods Issue,REQ-1211,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68075,68075,41075,Goods Receipt – Logistics scenario 29,Passed,M. Brinkmann,12.08.2026,SAP EWM,Goods Receipt,REQ-1212,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68076,68076,41076,Inventory – Logistics scenario 30,Passed,R. Petrov,17.08.2026,SAP EWM,Inventory,REQ-1212,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68077,68077,41077,Goods Receipt – Logistics scenario 31,Passed,A. Sylaj,18.08.2026,SAP EWM,Goods Receipt,REQ-1212,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68078,68078,41078,Goods Issue – Logistics scenario 32,Passed,R. Petrov,03.08.2026,SAP EWM,Goods Issue,REQ-1212,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68079,68079,41079,Goods Issue – Logistics scenario 33,Passed,A. Sylaj,05.08.2026,SAP EWM,Goods Issue,REQ-1212,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68080,68080,41080,Goods Receipt – Logistics scenario 34,Passed,L. Haas,13.08.2026,SAP EWM,Goods Receipt,REQ-1212,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68081,68081,41081,Goods Receipt – Logistics scenario 35,Passed,R. Petrov,07.08.2026,SAP EWM,Goods Receipt,REQ-1212,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68082,68082,41082,Inventory – Logistics scenario 36,Passed,S. Weber,07.08.2026,SAP EWM,Inventory,REQ-1213,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68083,68083,41083,Inventory – Logistics scenario 37,Passed,L. Haas,05.08.2026,SAP EWM,Inventory,REQ-1213,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68084,68084,41084,Goods Receipt – Logistics scenario 38,Passed,L. Haas,05.08.2026,SAP EWM,Goods Receipt,REQ-1213,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68085,68085,41085,Goods Receipt – Logistics scenario 39,Failed,M. Brinkmann,05.08.2026,SAP EWM,Goods Receipt,REQ-1213,Goods Receipt requirement,GCSAP-2110
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68086,68086,41086,Goods Receipt – Logistics scenario 40,Passed,L. Haas,03.08.2026,SAP EWM,Goods Receipt,REQ-1213,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68087,68087,41087,Inventory – Logistics scenario 41,Blocked,M. Brinkmann,28.08.2026,SAP EWM,Inventory,REQ-1213,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68088,68088,41088,Goods Receipt – Logistics scenario 42,Passed,M. Brinkmann,06.08.2026,SAP EWM,Goods Receipt,REQ-1213,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68089,68089,41089,Goods Issue – Logistics scenario 43,Passed,K. Ergün,14.08.2026,SAP EWM,Goods Issue,REQ-1214,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68090,68090,41090,Goods Issue – Logistics scenario 44,Passed,S. Weber,21.08.2026,SAP EWM,Goods Issue,REQ-1214,Goods Issue requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68091,68091,41091,Inventory – Logistics scenario 45,Passed,L. Haas,03.08.2026,SAP EWM,Inventory,REQ-1214,Inventory requirement,
GC SAP Upgrade / IR1 / Logistics / Team Logistics,TR-68092,68092,41092,Goods Receipt – Logistics scenario 46,Passed,M. Brinkmann,26.08.2026,SAP EWM,Goods Receipt,REQ-1214,Goods Receipt requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68093,68093,41093,Billing – Sales scenario 01,Blocked,K. Ergün,06.08.2026,SAP SD,Billing,REQ-1215,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68094,68094,41094,Billing – Sales scenario 02,Passed,S. Weber,19.08.2026,SAP SD,Billing,REQ-1215,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68095,68095,41095,Pricing – Sales scenario 03,Not Relevant,M. Brinkmann,17.08.2026,SAP SD,Pricing,REQ-1215,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68096,68096,41096,Billing – Sales scenario 04,Passed,A. Sylaj,18.08.2026,SAP SD,Billing,REQ-1215,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68097,68097,41097,Order Entry – Sales scenario 05,Passed,R. Petrov,13.08.2026,SAP SD,Order Entry,REQ-1215,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68098,68098,41098,Order Entry – Sales scenario 06,Passed,S. Weber,19.08.2026,SAP SD,Order Entry,REQ-1215,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68099,68099,41099,Billing – Sales scenario 07,Passed,A. Sylaj,14.08.2026,SAP SD,Billing,REQ-1215,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68100,68100,41100,Pricing – Sales scenario 08,Passed,L. Haas,03.08.2026,SAP SD,Pricing,REQ-1216,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68101,68101,41101,Pricing – Sales scenario 09,Not Relevant,L. Haas,26.08.2026,SAP SD,Pricing,REQ-1216,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68102,68102,41102,Order Entry – Sales scenario 10,Failed,M. Brinkmann,11.08.2026,SAP SD,Order Entry,REQ-1216,Order Entry requirement,GCSAP-2106
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68103,68103,41103,Order Entry – Sales scenario 11,Passed,S. Weber,13.08.2026,SAP SD,Order Entry,REQ-1216,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68104,68104,41104,Billing – Sales scenario 12,Passed,A. Sylaj,03.08.2026,SAP SD,Billing,REQ-1216,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68105,68105,41105,Pricing – Sales scenario 13,Passed,A. Sylaj,27.08.2026,SAP SD,Pricing,REQ-1216,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68106,68106,41106,Pricing – Sales scenario 14,Passed,A. Sylaj,12.08.2026,SAP SD,Pricing,REQ-1216,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68107,68107,41107,Billing – Sales scenario 15,Failed,K. Ergün,07.08.2026,SAP SD,Billing,REQ-1217,Billing requirement,GCSAP-2111
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68108,68108,41108,Billing – Sales scenario 16,Passed,M. Brinkmann,24.08.2026,SAP SD,Billing,REQ-1217,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68109,68109,41109,Pricing – Sales scenario 17,Passed,K. Ergün,04.08.2026,SAP SD,Pricing,REQ-1217,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68110,68110,41110,Billing – Sales scenario 18,Passed,M. Brinkmann,25.08.2026,SAP SD,Billing,REQ-1217,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68111,68111,41111,Billing – Sales scenario 19,Passed,K. Ergün,03.08.2026,SAP SD,Billing,REQ-1217,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68112,68112,41112,Billing – Sales scenario 20,Passed,A. Sylaj,12.08.2026,SAP SD,Billing,REQ-1217,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68113,68113,41113,Order Entry – Sales scenario 21,Passed,R. Petrov,06.08.2026,SAP SD,Order Entry,REQ-1217,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68114,68114,41114,Pricing – Sales scenario 22,Passed,K. Ergün,26.08.2026,SAP SD,Pricing,REQ-1218,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68115,68115,41115,Order Entry – Sales scenario 23,Passed,K. Ergün,05.08.2026,SAP SD,Order Entry,REQ-1218,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68116,68116,41116,Billing – Sales scenario 24,Passed,A. Sylaj,25.08.2026,SAP SD,Billing,REQ-1218,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68117,68117,41117,Billing – Sales scenario 25,Passed,L. Haas,05.08.2026,SAP SD,Billing,REQ-1218,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68118,68118,41118,Order Entry – Sales scenario 26,Passed,R. Petrov,21.08.2026,SAP SD,Order Entry,REQ-1218,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68119,68119,41119,Pricing – Sales scenario 27,Blocked,A. Sylaj,14.08.2026,SAP SD,Pricing,REQ-1218,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68120,68120,41120,Billing – Sales scenario 28,Passed,M. Brinkmann,28.08.2026,SAP SD,Billing,REQ-1218,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68121,68121,41121,Pricing – Sales scenario 29,Passed,S. Weber,14.08.2026,SAP SD,Pricing,REQ-1219,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68122,68122,41122,Billing – Sales scenario 30,Passed,L. Haas,24.08.2026,SAP SD,Billing,REQ-1219,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68123,68123,41123,Billing – Sales scenario 31,Passed,L. Haas,24.08.2026,SAP SD,Billing,REQ-1219,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68124,68124,41124,Billing – Sales scenario 32,Passed,A. Sylaj,21.08.2026,SAP SD,Billing,REQ-1219,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68125,68125,41125,Billing – Sales scenario 33,Not Relevant,A. Sylaj,24.08.2026,SAP SD,Billing,REQ-1219,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68126,68126,41126,Pricing – Sales scenario 34,Failed,R. Petrov,21.08.2026,SAP SD,Pricing,REQ-1219,Pricing requirement,GCSAP-2105
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68127,68127,41127,Order Entry – Sales scenario 35,Blocked,S. Weber,05.08.2026,SAP SD,Order Entry,REQ-1219,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68128,68128,41128,Order Entry – Sales scenario 36,Passed,M. Brinkmann,18.08.2026,SAP SD,Order Entry,REQ-1220,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68129,68129,41129,Billing – Sales scenario 37,Passed,K. Ergün,06.08.2026,SAP SD,Billing,REQ-1220,Billing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68130,68130,41130,Pricing – Sales scenario 38,Failed,A. Sylaj,24.08.2026,SAP SD,Pricing,REQ-1220,Pricing requirement,GCSAP-2107
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68131,68131,41131,Order Entry – Sales scenario 39,Passed,R. Petrov,21.08.2026,SAP SD,Order Entry,REQ-1220,Order Entry requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68132,68132,41132,Pricing – Sales scenario 40,Passed,L. Haas,19.08.2026,SAP SD,Pricing,REQ-1220,Pricing requirement,
GC SAP Upgrade / IR1 / Sales / Team Sales,TR-68133,68133,41133,Order Entry – Sales scenario 41,Passed,R. Petrov,17.08.2026,SAP SD,Order Entry,REQ-1220,Order Entry requirement,
